,id,artist_song,artist,genre
0,RaLMYYE7HuG6i67bQ2t3cn,king sunny adeSynchro System.mp3,King Sunny Ade,Juju
1,D7nFHkDRet5sMJ9LSsQEdf,nHfXJu68Yq28bT7oJbW7gA.mp3,King Sunny Ade,Juju
2,zyMmRtsknzzNhFaB7kohtD,king Sunny Ade  Asiko Layee  Eda Kan Ko  mola  Ile labo sinmi oko.mp3,King Sunny Ade,Juju
3,PHtSce72gTmGC3VHAgL7hY,King Sunny Ade - Penkele.mp3,King Sunny Ade,Juju
4,X5zBGJiy83S4M2B36Nbi8H,King Sunny Ade- Edide E Mujo.mp3,King Sunny Ade,Juju
5,W2SKoGsBBEK6M2tAaAhgML,King Sunny Ade - Mo Ti Mo.mp3,King Sunny Ade,Juju
6,LDaG9yJe6jkLR6b8ZLSrRk,King Sunny Ade- Sunny Tide.mp3,King Sunny Ade,Juju
7,Au9gRHuHWzepQbbZAachFg,King Sunny Ade - Enia lAsho Mi.mp3,King Sunny Ade,Juju
8,SaeCXs9QzjADq32ieT7kbU,King Sunny Ade - Ma Logba Ara MI.mp3,King Sunny Ade,Juju
9,gXAcwEf65w98iZ5ZBvohgg,Yoruba - King Sunny Ade.mp3,King Sunny Ade,Juju
10,wyYitMmZq9AaQ35wyg3GHa,King Sunny Ade - Ogidan O Ni Se Barber.mp3,King Sunny Ade,Juju
11,BuY854YUGhzUV6nMrRzuQG,King Sunny Ade  Ogun Party Pt 1.mp3,King Sunny Ade,Juju
12,iWET9eLVTScDv9gAwjVBNd,King Sunny Ade - Sunny Ti De Ariya.mp3,King Sunny Ade,Juju
13,Gp4wEJ4BFgLcprhX7ZeGfX,King Sunny Ade - Maajo.mp3,King Sunny Ade,Juju
14,WTTXjUr7jzYoz6Z3eyZ7w6,King Sunny Ade - Kiti Kiti.mp3,King Sunny Ade,Juju
15,stZ4fUPytLwkPBgGyzLM9K,King Sunny Ade -  Appreciation.mp3,King Sunny Ade,Juju
